confirmed,recovered,death,recover rate,death rate
62442,11788,2144,0.19,0.03
1332,642,5,0.48,0
1265,637,19,0.5,0.02
1175,633,1,0.54,0
1010,634,4,0.63,0
987,474,6,0.48,0.01
934,433,1,0.46,0
634,1,2,0,0
631,356,0,0.56,0
567,299,6,0.53,0.01
546,254,4,0.47,0.01
520,217,3,0.42,0.01
476,136,12,0.29,0.03
395,153,4,0.39,0.01
334,199,2,0.6,0.01
307,169,5,0.55,0.02
293,126,1,0.43,0
245,90,2,0.37,0.01
245,118,1,0.48,0
174,79,2,0.45,0.01
168,86,4,0.51,0.02
146,72,2,0.49,0.01
132,76,0,0.58,0
131,59,3,0.45,0.02
121,59,1,0.49,0.01
104,16,1,0.15,0.01
94,18,1,0.19,0.01
91,71,2,0.78,0.02
91,43,1,0.47,0.01
84,34,0,0.4,0
76,22,1,0.29,0.01
75,16,0,0.21,0
71,44,0,0.62,0
68,6,2,0.09,0.03
35,15,0,0.43,0
24,2,1,0.08,0.04
22,15,0,0.68,0
18,16,0,0.89,0
16,7,0,0.44,0
16,12,0,0.75,0
12,4,1,0.33,0.08
10,6,0,0.6,0
9,4,0,0.44,0
9,8,0,0.89,0
5,0,0,0,0
5,0,0,0,0
5,0,2,0,0.4
4,4,0,1,0
4,4,0,1,0
3,1,1,0.33,0.33
3,3,0,1,0
3,0,0,0,0
2,2,0,1,0
2,0,0,0,0
2,2,0,1,0
2,0,0,0,0
2,2,0,1,0
2,2,0,1,0
2,0,0,0,0
2,0,0,0,0
1,1,0,1,0
1,1,0,1,0
1,0,0,0,0
1,1,0,1,0
1,0,0,0,0
1,0,0,0,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,1,0,1,0
1,0,0,0,0
1,0,0,0,0
1,1,0,1,0
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
