Lat,Long
30.97564,112.2707
23.33841,113.422
33.88202,113.614
29.18251,120.0985
27.61041,111.7088
31.82571,117.2264
27.61401,115.7221
35.4437,139.638
32.97027,119.464
30.05718,107.874
36.34377,118.1529
30.61714,102.7103
47.862,127.7622
40.18238,116.4142
31.20327,121.4554
38.0428,114.5149
26.07783,117.9895
23.82908,108.7881
35.19165,108.8701
24.97411,101.4868
19.19673,109.7455
26.81536,106.8748
37.57769,112.2922
39.29362,117.333
41.29284,122.6086
37.5665,126.978
35.6762,139.6503
36.0611,103.8343
43.66657,126.1917
1.3521,103.8198
41.11981,85.17822
44.09448,113.9456
37.26923,106.1655
22.3193,114.1694
13.7563,100.5018
23.6978,120.9605
4.2105,101.9758
35.65945,96.02564
21.0278,105.8342
51.1657,10.4515
46.2276,2.2137
22.1987,113.5439
23.4241,53.8478
55.3781,-3.436
49.2827,-123.121
-27.4698,153.0251
32.4279,53.688
-33.8688,151.2093
-37.8136,144.9631
12.8797,121.774
20.5937,78.9629
41.8719,12.5674
40.6331,-89.3985
43.6532,-79.3832
61.524,105.3188
37.3541,-121.9552
40.4637,-3.7492
-34.9285,138.6007
36.5761,-120.9876
32.7157,-117.1611
30.1534,88.7879
47.7511,-120.74
34.0489,-111.094
28.3949,84.124
33.7879,-117.8531
34.0522,-118.2437
12.5657,104.991
7.8731,80.7718
61.9241,25.7482
42.9849,-81.2453
60.1282,18.6435
42.3601,-71.0589
50.5039,4.4699
43.0731,-89.4012
29.4241,-98.4936
26.8206,30.8025
